"note","candidate_name","response","q_id"
"","Magnús Þórarinn Thorlacius","Mjög ósammála",14
"","Magnús Þórarinn Thorlacius","Styrkirnir eru of lágir",15
"Skattkerfið á Íslandi er of flókið. Vinstri stjórnin rústaði skattkerfinu sem var við líði og bjó til nýja skatta og hækkaði aðra skatta í yfir 100 tilvikum. Hægri grænir, flokkur fólksins vill einfalda það og taka upp flatan skatt. Flatur skattur er er talinn af flestum hagfræðingum skila hærri upphæðum heldur en þrepaskattur. Einnig hefur það verið rannsakað að lægri skattprósenta eykur greiðsluvilja almennings heldur en há skattprósenta. Almenningur og fyrirtæki finna alltaf leiðir til undanskota frá skatti og eru þær leiðir greiðfærari í flóknu skattkerfi sem bíður uppá hinar ýmsu undanþágur. Flokkurinn vill flatan 20% virðisaukaskatt og flatan 20% tekjuskatt - “20/20” . 20% flatur tekjuskattur og eitt skattþrep. Lækkun á ári eitt í 35%, ári 2 í 30%, ári 3 í 25% og ári 4 í 20%. Þetta mundi einfalda skattkerfið til muna og skattframtalið passaði á eitt A4 blað. Virðisaukaskattur á mat yrði áfram 7%. Tryggingargjald fyrirtækja yrði lækkað strax í 3%. Flokkurinn vill að virðisaukaskattsskil fyrirtækja verði vikulega í staðinn fyrir á tveggja mánaða fresti eins og það er í dag. Þetta veldur betri skilum og fjástýring ríkisins verður betri. Þetta kemur einnig að góðu fyrir fyrirtækin sem vita þá betur hvernig þau standa.","Magnús Þórarinn Thorlacius","Skattbyrðin er alltof há",16
"","Magnús Þórarinn Thorlacius","Frekar andvíg(ur)",17
"","Magnús Þórarinn Thorlacius","Ósammála",18
"","Magnús Þórarinn Thorlacius","Skattar eru alltof háir",19
"","Magnús Þórarinn Thorlacius","Vil ekki svara",20
"","Magnús Þórarinn Thorlacius","Sammála",21
"","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",22
"","Magnús Þórarinn Thorlacius","Hlutlaus",23
"","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",24
"","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",25
"Hægri grænir, flokkur fólksins vill minna Íslendinga á Ísland er bókaeyja. Eins og Thor Vilhjálmsson sagði „Við erum heimsveldi í bókaheiminum“ átti hann þar við Íslendingasögurnar og Halldór Laxness. Ísland á að vera griðland lista og menningar.  Bókaeyjan á að vera paradís listamanna í öllum skapandi greinum eins og myndlist, kvikmyndaiðnaði, tónlist og hugbúnaðargerð o.s.frv. Flokkurinn telur að menning og listir gegni mjög mikilvægu hlutverki í íslensku samfélagi. Á síðustu áratugum hefur menningin og listin færst meira í þá áttina að vera hluti af hinu opinbera kerfi og því verður að snúa við. Listin á að vera sjálfssprottin og sjálfbær. Við verum að byrja á því að liggja niður öll innflutningsgjöld og tolla af menningartengdu efni. Íslendingar verða að samræma lög og reglur við nágrannaþjóðirnar þegar kemur að auglýsingum leyfisskyldra aðila að auglýsa vöru og þjónustu í blöðum, tímaritum, sjónvarpi og útvarpi. Þetta er mikið hagsmuna og sanngirnismál fyrir íslenska fjölmiðla því þeir eru í samkeppni  t.d. við netið, erlent sjónvarpsefni, erlend blöð og tímarit sem seld eru á Íslandi.","Magnús Þórarinn Thorlacius","Sammála",26
"Að vísitölutengja höfuðstól lána brýtur í bága við löggjöf Evrópusambandsins, segir Elvira Mendez, prófessor við Háskóla Íslands og sérfræðingur í Evrópurétti, sem hefur rannsakað verðtrygginguna. Elvira ætlar að skrifa eftirlitsnefnd EFTA og framkvæmdastjórn ESB í kjölfar rannsóknar sinnar og spyrja hvort löggjafarvaldinu á Íslandi sé heimilt að fara þessa leið í lánamálum með tilliti til Evrópuréttar. Hún segir ótækt að lántakandi viti ekki nákvæmlega hverjar fjárhagslegar skuldbindingar hans séu en það hljótist af því að vísitölutengja höfuðstól láns. „Sú hugmynd að hafa höfuðstól lánsins óljósan eins og X eða spurningamerki er skýlaust brot á löggjöf ESB.“ Hún segir skilmála lánanna misbjóða lántakendum og fyrirhugaðar úrbætur á neytendalöggjöf séu ekki til bóta. „Í nýju tillögunum sem nú bíða afgreiðslu á þinginu er gengið út frá því að með gegnsæi og upplýsingagjöf verði allt í lagi með slík lán,“ segir hún. „Það get ég ekki tekið undir. Misbjóðandi lög og lagaákvæði er aldrei hægt að réttlæta með gegnsæi. Það er aldrei vörn.“ Heimild: RUV.is","Magnús Þórarinn Thorlacius","Mjög sammála",27
"XG Hægri grænir, flokkur fólksins, ætlar að setja sérstök neyðarlög fyrir heimilin. Með neyðarlögunum verður öllum  verðtryggðum húsnæðislánum skuldbreytt og  þau lækkuð um allt að 45% (fer eftir því hvenær þau eru tekin). Gömlu verðtryggðu húsnæðislánunum verður breytt í ný óverðtryggð húsnæðislán og greiðslutími þeirra lengdur í allt að 75 ár (þú átt valið).  Þetta er auðveldlega hægt að gera með því að búa til sérstakan sjóð í Seðlabankanum með sértækri aðgerð Seðlabankans. Í framhaldinu yrði verðtrygging afnumin á neyslulánum, öllum nauðungaruppboðum hjá sýslumönnum frestað  á meðan verið er að lagfæra ástandið. Uppgreiðslugjöld banka og lífeyrissjóða og stimpilgjald á þessum eignatilfærslum yrðu felld niður. Þetta er markaðsaðgerð, sem er kölluð magnbundin íhlutun og hefur m.a. bjargað bandaríska húsnæðislánakerfinu og kostar okkur skattgreiðendur ekki krónu.","Magnús Þórarinn Thorlacius","Mjög sammála",28
"","Magnús Þórarinn Thorlacius","Framfærslan er alltof lág",29
"","Magnús Þórarinn Thorlacius","Bætur eru of lágar",30
"","Magnús Þórarinn Thorlacius","Bætur eru alltof lágar",31
"","Magnús Þórarinn Thorlacius","Alltof vægir",32
"","Magnús Þórarinn Thorlacius","Frekar hlynnt(ur)",33
"","Magnús Þórarinn Thorlacius","Hlutlaus",34
"","Magnús Þórarinn Thorlacius","Frekar andvíg(ur)",35
"Kvótakerfið er orðin slitin flík. Sífelldar breytingar og stöðugt stag í götin hefur gert kerfið svo flókið, að erfitt er að hafa yfir það sýn. Útdeiling á kvótum og leyfum og sala þeirra eru stöðugt deilumál, talað er um að setja allt á uppboð, þar sem vel fjármagnaðir aðilar hefðu að sjálfsögðu yfirhöndina, en það er aðeins óánægjan, sem vex. Á sama tíma berast fréttir af rannsóknum erlendis frá, sem sýna að friðun hefur lítið upp á sig. Stórt svæði í Norðursjó var friðað með þeim afleiðingum, að þar er nú lítill sem enginn fiskur. Í Barentshafi, hins vegar, hefur veiði langt umfram tillögur hinnar hefðbundnu fiskifræði skilað stöðugt meiri þorskafla og engin merki eru þar um ofveiði. Reynslan sýnir, að ekki hefur tekist að segja til um stofnþróun ár fram í tímann og byggja spárnar á ársgömlum gögnum, sem auk þess eru hæpin. Sóknarstýring nemur hins vegar breytingar á fiskstofnum um leið og þær koma fram. Því er er ljóst að það verður að hugsa upp á nýtt og að nýja stefnan verði sú að breyta núverandi kvótakerfi á botnfiskveiðum og koma á veiðidagakerfi, þar sem frjálsræði er aukið, en sértækar veiðar lúti áfram aflamarkskerfi m.a.vegna alþjóðlegra samninga um deilistofna. Hið nýja kerfi er íslenskt og miðar að því að hámarka þjóðhagslegan virðisauka af auðlindinni. ","Magnús Þórarinn Thorlacius","Frekar andvíg(ur)",36
"","Magnús Þórarinn Thorlacius","Sammála",37
"","Magnús Þórarinn Thorlacius","Sammála",38
"","Magnús Þórarinn Thorlacius","30 ára",39
"Aðalatriðið sem hafa verður forgang við allar breytingar á fiskveiðistjórnunarkerfinu er að þær séu gerðar í sátt við almenning í landinu, sérstaklega sjómenn og fiskverkafólk í sjávarbyggðunum, en margir stjórnmálamenn hugsa um það eitt að njóta vinsælda og gera hvað sem er til að njóta þeirra, jafnvel þó það kosti okkur öll verri lífskjör.  Þetta er sorgleg staðreynd, sem flest hagsmunasamtök hafa séð í gegnum, en engu að síður halda menn áfram að níða skóinn af útgerðarmönnum, án þess að gera minnstu tilraun til að segja þjóðinni hvað muni taka við, ef sjávarútvegurinn verður þjóðnýttur. Reynslan hefur sýnt okkur að slíkar breytingar hefðu fjöldagjaldþrot í för með sér og efnahagslegt hrun með tilheyrandi fátækt. Hugmyndir vinstristjórnarinnar um ríkis- og  leigupottakerfi eru ekkert annað en sjónhverfingar lánlausrar ríkisstjórnar á síðustu metrunum fyrir kosningar gerðar til þess að reyna að auka sér fylgi. Þessi tilraun er sósíalísk forsjárhyggja af fyrstu gráðu og hefði sómað sér vel í Sovétríkjunum sálugu.Stjórnmálahreyfingin Hægri grænir, flokkur fólksins vill skoða nýjar hugmyndir um sátt í sjávarútvegsmálum. Vörpum við hér fram hugmynd um að breyta strandveiða- og byggðakvótakerfinu í nýtt staðbundið dagakerfi sem væri sjálfstætt kerfi sem starfaði til hliðar við hið almenna kvótakerfi. Þetta nýja dagakerfi myndi leyfa frjálsar handfæraveiðar gegn sanngjörnu löndunargjaldi sem myndi renna til viðkomandi sveitarfélags. Þessar veiðar gætu  miðast við báta undir vissum tonnafjölda sem stunda dagróðra frá mánudegi til fimmtudags. Þetta er staðbundið kerfi og í stað aflamagns yrði notast við bátafjölda í hverju sjávarplássi. Setja yrði hámarksfjölda báta á hverjum stað og ekki væri hægt að selja leyfin frá plássinu. Eigandi bátsins yrði að eiga lögheimili á staðnum og borga skatta í sveitarfélaginu. Viðkomandi sjávarpláss þyrfti af hafa vinnslu og frystihús á staðnum. Frjálst handfæraleyfi gæti síðan gengið kaupum og sölum og hver útgerð miðaðist við 1 bát með tvær handfærarúllur. Veiðarnar væru stundaðar frá sumardeginum fyrsta til fyrsta vetrardags. Sumardagurinn fyrsti er fyrsti dagur Hörpu og ber alltaf upp á fimmtudag á tímabilinu frá 19.-25. Apríl. Fyrsti vetrardagur er laugardagurinn að lokinni 26. viku sumars og ber upp á 21.-27. október. Trillukarlar, trilluútgerð og smábátaútgerð er partur af íslenskri sjávarplássmenningu og yrði það mikill sjónarsviptir ef slík útgerð leggðist af. Við viljum pólitísk afskipti burt úr greininni. Við getum kallað þetta „Einyrkjakerfið“.","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",40
"Hægri grænir, flokkur fólksins tekur undir þau sjónarmið að margt megi betur fara í Stjórnarskrá lýðveldisins Íslands og viljum við kynna nýja og betri stjórnarskrá á 70 ára afmæli lýðveldisins 17 júni nk. Nú þegar ljóst er að núverandi stjórnvöld hafa ekki í hyggju að ná fram stjórnarskrárbreytingum á þessu kjörtímabili ætlar flokkurinn að beita sér fyrir því eftir næstu kosningar, að fara að óskum meirihluta þjóðarinnar um að tillögur stjórnalagaráðs verði notaðar til grundvallar um gerð nýrrar Stjórnarskrár lýðveldisins Íslands. Ekki tökum við undir allar tillögur stjórnlagaráðs, en mikið af þeim eru mjög athyglisverðar. Hvernig tillögur Hægri grænna líta út um breytingarferlið á Stjórnarskránni verður ekki ákveðið fyrr en eftir kosningar, en eitt er víst að það verður að gerast í sátt við þjóðina. Að sjálfsögðu verður núverandi Stjórnarskrá og tillögur stjórnlagaráðs hafðar sem leiðarvísir í þeirri vegferð. Ætlar flokkurinn eftir endurskoðun að setja hverja einustu grein í þjóðaratkvæðagreiðslu til samþykktar eða höfnunar.","Magnús Þórarinn Thorlacius","Hlutlaus",41
"","Magnús Þórarinn Thorlacius","Frekar andvíg(ur)",42
"","Magnús Þórarinn Thorlacius","Hlutlaus",43
"","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",44
"Eins og segir í lögum Hægri grænna, flokks fólksins: Ef Hægri grænir, flokkur fólksins veljast til setu í ríkisstjórn skulu ráðherrar flokksins vera utanþingsráðherrar. Ef kjörinn þingmaður verður ráðherra verður sá hinn sami að segja af sér þingmennsku og varamaður hans að taka við. Þetta er lykilatriði við þrískiptingu valdsins, það er óeðlilegt að framkvæmdavaldið þ.e. ráðherrar sitji inni á Alþingi og starfi sem löggjafavald. Einnig vill flokkurinn færa Alþingi nær unga fólkinu og vekja áhuga þess á lýðræðinu og Alþingi. Flokkurinn vill lækka kosningaaldur niður í 17 ár. Ein leið sem flokkurinn vill athuga í þessu sambandi er að veita hverjum þingmanni möguleika á að hafa tvo aðstoðarmenn. Þessir aðstoðarmenn fengju möguleika á tveggja ára starfsþjálfun og lýðræðiskynningu, í hlutastarfi meðfram mennta- eða háskólanámi.","Magnús Þórarinn Thorlacius","Mjög andvíg(ur)",45
"","Magnús Þórarinn Thorlacius","Mjög ósammála",46
"","Magnús Þórarinn Thorlacius","Mjög mikilvægt",47
"","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",48
"","Magnús Þórarinn Thorlacius","Mjög andvíg(ur)",49
"","Magnús Þórarinn Thorlacius","Sammála",50
"","Magnús Þórarinn Thorlacius","Mjög hlynnt(ur)",51
"","Magnús Þórarinn Thorlacius","Mjög andvíg(ur)",52
"Það afar mikilvægt að hjálpa öðrum þjóðum með þróunaraðstoð, sérstaklega þeim þjóðum sem við þekkjum vel til og eru með lýðræðislega stjórnarhætti. Íslendingar setja 0,33% af vergri þjóðarframleiðslu eða  meira en 5,7  milljarða á ári í þróunaraðstoð í gegnum Þróunarsamvinnustofnun Íslands (ÞSSÍ), ESB, Sameinuðu þjóðirnar, Rauða krossinn, ABC hjálparstarf, Hjálparstofnun kirkjunnar og aðra. Hægri grænir, flokkur fólksins er hlynntur aukinni þróunaraðstoð svo framarlega sem hún er veitt í gegnum einkaaðila og sjálfboðaliða sem starfa við þróunarhjálp. Víða er pottur brotinn hjá hinu opinbera þegar kemur að þróunaraðstoð, en ÞSSÍ  fer með 41% alls fjárs sem fer til þróunaraðstoðar frá landinu. Þessu vill flokkurinn breyta vegna gífurlegs reksrtrarkostnaðs ÞSSÍ. Ekki hafa fengist tölur frá ÞSSÍ hversu stórt hlutfall er kostnaður við þróunarstarf, en ef tölur frá öðrum löndum er eitthvað að marka þá er kostnaðurinn um 90 % af öllu hjálparfé sem er ótækt.","Magnús Þórarinn Thorlacius","Hvorki né",53
"","Magnús Þórarinn Thorlacius","Flugvöllurinn á að vera áfram í Vatnsmýri",54
"","Magnús Þórarinn Thorlacius","Mjög andvíg(ur)",55
"","Magnús Þórarinn Thorlacius","Mjög mikilvægt",56
"","Magnús Þórarinn Thorlacius","Hvorki né",57
"","Magnús Þórarinn Thorlacius","Verðbólgu",58
"","Magnús Þórarinn Thorlacius","Sammála",59
"","Magnús Þórarinn Thorlacius","Hvorki né",60
"","Magnús Þórarinn Thorlacius","Vil ekki svara",61
"","Magnús Þórarinn Thorlacius","Vil ekki svara",62
"","Magnús Þórarinn Thorlacius","Mjög ósammála",63
"","Magnús Þórarinn Thorlacius","Mjög andvíg(ur)",64
"","Magnús Þórarinn Thorlacius","Mjög sammála",65
"","Magnús Þórarinn Thorlacius","Mjög sammála",66
"Fjölbreyttni og nýsköpun í iðnaði er þó mikilvægari.","Kolbeinn Aðalsteinsson","Sammála",1
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",2
"","Kolbeinn Aðalsteinsson","Mjög hlynnt(ur)",3
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",4
"Þjóðin á að vera spurð hvort hún vill halda áfram eða hætta aðildaviðræðum.","Kolbeinn Aðalsteinsson","Hvorugt lýsir afstöðu minni",5
"","Kolbeinn Aðalsteinsson","Hagsmunum Íslands er best borgið utan ESB",6
"Afnám verðtryggingar er nauðsynleg svo íslenska þjóðin geti haft eigin gjaldmiðil. 
Leysa þarf sjóhengjuvandann með upptöku á nýjum íslenskum gjaldmiðli.","Kolbeinn Aðalsteinsson","Íslenska krónu",7
"","Kolbeinn Aðalsteinsson","Mjög andvíg(ur)",8
"","Kolbeinn Aðalsteinsson","Hvorki né",9
"","Kolbeinn Aðalsteinsson","Mjög ósammála",10
"","Kolbeinn Aðalsteinsson","Hlutlaus",11
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",12
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",13
"","Kolbeinn Aðalsteinsson","Mjög ósammála",14
"","Kolbeinn Aðalsteinsson","Styrkirnir eru of háir",15
"","Kolbeinn Aðalsteinsson","Skattbyrðin er of há",16
"","Kolbeinn Aðalsteinsson","Hlutlaus",17
"","Kolbeinn Aðalsteinsson","Hvorki né",18
"","Kolbeinn Aðalsteinsson","Skattar eru alltof háir",19
"","Kolbeinn Aðalsteinsson","Mjög andvíg(ur)",20
"","Kolbeinn Aðalsteinsson","Hvorki né",21
"","Kolbeinn Aðalsteinsson","Hlutlaus",22
"","Kolbeinn Aðalsteinsson","Mjög andvíg(ur)",23
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",24
"","Kolbeinn Aðalsteinsson","Mjög hlynnt(ur)",25
"","Kolbeinn Aðalsteinsson","Hvorki né",26
"Eru mögulega ólögleg síðan 2007","Kolbeinn Aðalsteinsson","Mjög sammála",27
"Sjáið útfærslu xG","Kolbeinn Aðalsteinsson","Mjög sammála",28
"Vill sjá hana hærri þó.","Kolbeinn Aðalsteinsson","Framfærslan er hæfileg",29
"","Kolbeinn Aðalsteinsson","Bætur eru of lágar",30
"","Kolbeinn Aðalsteinsson","Bætur eru hæfilegar",31
"","Kolbeinn Aðalsteinsson","Of vægir",32
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",33
"","Kolbeinn Aðalsteinsson","Frekar andvíg(ur)",34
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",35
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",36
"","Kolbeinn Aðalsteinsson","Sammála",37
"","Kolbeinn Aðalsteinsson","Sammála",38
"","Kolbeinn Aðalsteinsson","50 ára",39
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",40
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",41
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",42
"","Kolbeinn Aðalsteinsson","Mjög andvíg(ur)",43
"","Kolbeinn Aðalsteinsson","Mjög hlynnt(ur)",44
"","Kolbeinn Aðalsteinsson","Mjög andvíg(ur)",45
"","Kolbeinn Aðalsteinsson","Ósammála",46
"","Kolbeinn Aðalsteinsson","Mjög mikilvægt",47
"","Kolbeinn Aðalsteinsson","Mjög hlynnt(ur)",48
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",49
"","Kolbeinn Aðalsteinsson","Mjög sammála",50
"","Kolbeinn Aðalsteinsson","Mjög hlynnt(ur)",51
"","Kolbeinn Aðalsteinsson","Hlutlaus",52
"","Kolbeinn Aðalsteinsson","Ósammála",53
"","Kolbeinn Aðalsteinsson","Vil ekki svara",54
"","Kolbeinn Aðalsteinsson","Frekar hlynnt(ur)",55
"","Kolbeinn Aðalsteinsson","Ekki mikilvægt",56
"","Kolbeinn Aðalsteinsson","Sammála",57
"","Kolbeinn Aðalsteinsson","Atvinnuleysi",58
"","Kolbeinn Aðalsteinsson","Hvorki né",59
"","Kolbeinn Aðalsteinsson","Vil ekki svara",60
"","Kolbeinn Aðalsteinsson","Hvorki né",61
"","Kolbeinn Aðalsteinsson","Sammála",62
"","Kolbeinn Aðalsteinsson","Hvorki né",63
"","Kolbeinn Aðalsteinsson","Mjög andvíg(ur)",64
"","Kolbeinn Aðalsteinsson","Sammála",65
"","Kolbeinn Aðalsteinsson","Vil ekki svara",66
"Mín skoðun er sú að við eigum að ""selja"" okkur sem hreint og tært land en ekki land stóriðju. Það mun skila sér til frammtíðar trúi ég.","Oddur Andri Thomasson Ahrens","Ósammála",1
"Þó ég sé á móti frekari stóriðju þá er þetta eitthvað sem hefur verið uppí á borði í langan tíma og á að útkljá þetta mál með þjóðaratkvæða greiðslu.","Oddur Andri Thomasson Ahrens","Hlutlaus",2
"Fyrirtæki eiga að sýna samfélagslega ábyrgð og sjá til þess að halda mengun í lágmarki.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",3
"Það á alls ekki að eyðileggja þjórsá.","Oddur Andri Thomasson Ahrens","Mjög andvíg(ur)",4
"Það á að hætta að eyða peningum í þetta ferli ef þjóðin er andvíg inngöngu. Þjóðaratkvæðagreiðsla strax!","Oddur Andri Thomasson Ahrens","Ísland á að hætta aðildaviðræðum",5
"","Oddur Andri Thomasson Ahrens","Hagsmunum Íslands er best borgið utan ESB",6
"Íslenskur Ríkisdalur tengdur við Dollara","Oddur Andri Thomasson Ahrens","Annan gjaldmiðil",7
"","Oddur Andri Thomasson Ahrens","Hlutlaus",8
"Þetta er mál sem þarf að skoða í stærra samhengi.","Oddur Andri Thomasson Ahrens","Vil ekki svara",9
"Það á að afnema tolla og opna markaði.","Oddur Andri Thomasson Ahrens","Mjög ósammála",10
"Mér finnst sjálfsagt að erlendir ríkisborgarar setjist hér að en þó að uppfylltum skilyrðum. Ekki á að gera það of auðvelt að setjast hér að, það er í lagi að gera kröfur.","Oddur Andri Thomasson Ahrens","Hlutlaus",11
"Ég er hlyntur erlendri fjárfestingu en að sjálfsögðu þarf að setja þessum kaupum skilyrði og skorður.","Oddur Andri Thomasson Ahrens","Frekar hlynnt(ur)",12
"Ef fólk vill verða Íslenskur ríkisborgari þá á það að tala tungumálið að mínu mati.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",13
"Fólk er misjafnt eins og það er margt.","Oddur Andri Thomasson Ahrens","Ósammála",14
"Er alfarið á móti því að einstakar starfsstéttir fái milljarða í niðurgreiðslu. Það á að opna markaðinn svo bændur hafi tækifæri til að selja vöru sína þar sem búa milljónir manna en ekki örfáar hræður. Undir þeim skilyrðum gildir lögmálið Þeir sem nenna að vinna fá sitt. Auðvitað verður að afnema þessa styrki í þrepum og setja á fót einhverskonar sjóð fyrir þá allra verst stöddu til að koma þeim út á markaðinn.","Oddur Andri Thomasson Ahrens","Styrkirnir eru alltof háir",15
"Ég vill sjá flatan skatt, 20% fyrir alla.","Oddur Andri Thomasson Ahrens","Skattbyrðin er alltof há",16
"Eitthvað sem verður að skoða í stærra samhengi.","Oddur Andri Thomasson Ahrens","Hlutlaus",17
"Það er ekki sanngjarnt að þeir sem vinna meira eða hafa eytt milljónum í nám og eru að greiða af námslánum tugi ára framm í tímann þurfi að greiða meir en aðrir. Það á bara að vera jöfnuður, allir borga það sama. Það er réttlæti. Þeir sem eru með hærri laun greiða hvort sem er alltaf meira til rikisjóðs en þeir sem minn eiga þar sem launin eru hærri.","Oddur Andri Thomasson Ahrens","Mjög ósammála",18
"30% lækkun á eldsneyti. Afnemum gjöld.","Oddur Andri Thomasson Ahrens","Skattar eru alltof háir",19
"Mál sem þarf að skoða í stærra samhengi. Tek þó framm að ég er ekki á móti fjárframmlögum til lista og menningar tengdra hluta.","Oddur Andri Thomasson Ahrens","Vil ekki svara",20
"Það þarf að efla landsbygðina! Fyrst þarf að efla heilbrigðisþjónustuna hringinn í kringum landið.","Oddur Andri Thomasson Ahrens","Mjög sammála",21
"Léttvín og bjór í allar matvöruverslanir.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",22
"Það á að skera niður ríkissjónvarpið um helming til að byrja með. Ríkis miðill á eingöngu að sjá um hlutlausan fréttaflutning, innlent sjónvarpsefni og fræðslu efni.Einnig á hún að þjóna tilgangi neyðarstöðvar ef hamfarir eiga sér stað.","Oddur Andri Thomasson Ahrens","Frekar andvíg(ur)",23
"Væri til í að sjá þetta í lögum og í sérstökum dálk á öllum húsnæðislánasamningum.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",24
"","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",25
"Listsköpun er mikilvæg.","Oddur Andri Thomasson Ahrens","Sammála",26
"Fyrsta verkefni nyrrar stjórnar!","Oddur Andri Thomasson Ahrens","Mjög sammála",27
"Það er til lausn, ég hef séð hana.","Oddur Andri Thomasson Ahrens","Mjög sammála",28
"Þarf að hækka.","Oddur Andri Thomasson Ahrens","Framfærslan er of lág",29
"Þær þurfa að hækka.","Oddur Andri Thomasson Ahrens","Bætur eru of lágar",30
"Atvinnuleysisbætur eru of lágar, EN það þarf fyrst að hækka lágmarkslaunin áður en atvinnuleysisbætur verða hækkaðar. ","Oddur Andri Thomasson Ahrens","Bætur eru of lágar",31
"Hækka á refsirammann töluvert að mínu mati. Einnig eiga dæmdir barnaníðingar að sæta ævilöngu eftirliti. ","Oddur Andri Thomasson Ahrens","Alltof vægir",32
"Ef ég ætti barn þá myndi ég vilja vita ef nágranni minn væri dæmdur barnaníðingur. 
Þyrfti að kynna mér betur hvernig reynslan af þessu er erlandis þar sem þetta hefur verið gert til að geta svarað þessu fullkomnlega.","Oddur Andri Thomasson Ahrens","Frekar hlynnt(ur)",33
"Ég er alfarið á móti lögleiðingu fíkniefna! Aftur á móti þykir mér vert að skoða lögleiðingu neysluskammta fyrir þá sem á því þurfa að halda samkvæmt læknisráði eins og gert er í mörgum löndum í dag. Eitthvað sem yrði að skoða með sérfræðingum.","Oddur Andri Thomasson Ahrens","Frekar andvíg(ur)",34
"Fólk á að fá að ráða því sjálft hvort það reyki. Aftur á móti má gera fólki erfiðara fyrir með því að banna reykingar á fleiri stöðum (Vill taka það framm að ég er alfarið á móti hugmyndum um að banna fólki að reykja heima hjá sér eða á svölum, fólk á að hafa frelsi til að gera það sem það vill heima hjá sér) Einnig myndi bann auka glæpa starfsemi. Ég vill hafa hlutina á yfirborðinu til þess að hægt sé að taka á þeim.","Oddur Andri Thomasson Ahrens","Frekar andvíg(ur)",35
"Kvótinn er eign fólksinns ekki nokkurra auðmanna!","Oddur Andri Thomasson Ahrens","Mjög andvíg(ur)",36
"","Oddur Andri Thomasson Ahrens","Mjög sammála",37
"Fyrirtæki sem leigir auðlind verður auðvitað að hafa grundvöll. Tel að skoða þyrfti hvert einstaka dæmi fyrir sig. Það á hinsvegar ekki að leigja auðlindirnar fyrir klínk.","Oddur Andri Thomasson Ahrens","Sammála",38
"Tel að það ætti að skoða hvert dæmi fyrir sig en auðvitað á að vera eitthvert þak. ","Oddur Andri Thomasson Ahrens","50 ára",39
"Gott fyrir litlu sjávarplássin.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",40
"Þjóðin á bara að fá að kjósa um ALLA liði stjórnarskráarinnar en ekki örfáa handahófskenda liði.","Oddur Andri Thomasson Ahrens","Hlutlaus",41
"Menn og málefni!","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",42
"Öll atkvæði eiga að hafa sama vægi.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",43
"Almenningur á að fá að vita hvað er að gerast á bakvið tjöldin.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",44
"Sá sem semur lögin á ekki að fá að kjósa um þau! Ráðherra á að sinna sínu starfi á meðan ""þjóðin"" situr á þingi.","Oddur Andri Thomasson Ahrens","Mjög andvíg(ur)",45
"Á Íslandi á ekki að vera þörf á ""betri"" heilbrigðisþjónustu, hún á að vera best fyrir alla. Auðvitað má svo skoða umsóknir um erlend heilsu sjúkrahús og slíkt í öðru samhengi með fjárfestingu í huga.","Oddur Andri Thomasson Ahrens","Mjög ósammála",46
"Gæti virkað sem fyrirbyggjandi aðgerð til frammtíðar litið. Sparað þegar litið er á heildarmyndina.","Oddur Andri Thomasson Ahrens","Mjög mikilvægt",47
"Allir eiga að hafa greiðan aðgang að tannlækni!","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",48
"Ég er ekki sannfærður um að þjónustan myndi batna við þær breytingar.","Oddur Andri Thomasson Ahrens","Mjög andvíg(ur)",49
"Alltaf má betur gera þó gott sé.","Oddur Andri Thomasson Ahrens","Sammála",50
"Allir eiga að eiga tækifæri á að eignast barn.","Oddur Andri Thomasson Ahrens","Mjög hlynnt(ur)",51
"Betra að hafa hlutina á yfirborðinu en í felum í undirheimunum. Þannig er hægt að vinna á vandanum.","Oddur Andri Thomasson Ahrens","Frekar hlynnt(ur)",52
